lines,path,priority
827,lib/features/workflow_engine/presentation/screens/atlas_workflow_screen.dart,P2
827,lib/features/atlas_commercial_enterprise/presentation/screens/atlas_commercial_enterprise_screen.dart,P2
820,lib/features/copilot/presentation/screens/atlas_copilot_screen.dart,P2
819,lib/features/technical_dashboard/domain/services/technical_dashboard_service.dart,P2
814,lib/core/navigation/atlas_home_shell.dart,P2
812,lib/features/performance_intelligence/presentation/screens/atlas_performance_dashboard_screen.dart,P2
809,lib/features/mission_control/presentation/screens/atlas_mission_control_screen.dart,P2
809,lib/features/atlas_reproductive_premium/presentation/screens/atlas_reproductive_premium_screen.dart,P2
806,lib/features/atlas_commercial_operations/presentation/screens/atlas_commercial_operations_screen.dart,P2
804,lib/features/atlas_geospatial_platform/presentation/screens/atlas_geospatial_screen.dart,P2
803,lib/features/atlas_autonomous_enterprise/presentation/screens/atlas_autonomous_enterprise_screen.dart,P2
800,lib/features/animal_health/presentation/screens/health_overview_screen.dart,P2
799,lib/features/atlas_governance_operations/presentation/screens/atlas_governance_operations_screen.dart,P2
799,lib/features/atlas_executive_intelligence/presentation/screens/atlas_executive_intelligence_screen.dart,P2
797,lib/features/atlas_enterprise_operations/presentation/screens/atlas_enterprise_operations_screen.dart,P2
794,lib/features/atlas_platform_resilience/presentation/screens/atlas_platform_resilience_screen.dart,P2
794,lib/features/atlas_environmental_ai/presentation/screens/atlas_environmental_ai_screen.dart,P2
791,lib/features/atlas_saas_platform/presentation/screens/atlas_saas_platform_screen.dart,P2
791,lib/features/atlas_rural_business/presentation/screens/atlas_rural_business_screen.dart,P2
791,lib/features/atlas_financial_integrations/presentation/screens/atlas_financial_integrations_screen.dart,P2
788,lib/features/animal_reproduction/presentation/screens/animal_reproduction_list_screen.dart,P2
787,lib/features/reports/presentation/widgets/report_action_analytics_card.dart,P2
787,lib/features/animal_reproduction/presentation/screens/reproduction_overview_screen.dart,P2
780,lib/features/atlas_copilot/presentation/screens/atlas_copilot_screen.dart,P2
779,lib/features/predictive_analytics/presentation/screens/atlas_predictive_analytics_screen.dart,P2
778,lib/features/reports/presentation/widgets/report_action_kanban_board.dart,P2
778,lib/features/executive_brain/domain/services/atlas_executive_brain_service.dart,P2
777,lib/features/atlas_predictive_ai_suite/presentation/screens/atlas_predictive_ai_screen.dart,P2
777,lib/features/atlas_os/presentation/screens/atlas_os_screen.dart,P2
773,lib/features/farm_finance/presentation/screens/finance_overview_screen.dart,P2
769,lib/features/dashboard/data/services/executive_opinion_pdf_service.dart,P2
766,lib/features/farm_audit/presentation/screens/atlas_farm_audit_screen.dart,P2
762,lib/core/operational_intelligence/action_plan/atlas_reproductive_strategy_screen.dart,P2
761,lib/features/executive_kpis/presentation/screens/atlas_executive_kpi_history_screen.dart,P2
