screen,file,references,network_calls,uses_shared_preferences,action_callbacks,disabled_actions
AnimalMovementFormScreen,lib/features/animal_movement/presentation/screens/animal_movement_form_screen.dart,6,,False,2,0
AnimalMovementListScreen,lib/features/animal_movement/presentation/screens/animal_movement_list_screen.dart,6,,False,4,0
AnimalNutritionEnterpriseScreen,lib/features/animal_nutrition_enterprise/presentation/screens/animal_nutrition_enterprise_screen.dart,5,,False,6,0
AnimalOperationsCenterScreen,lib/features/animal_operations_center/presentation/screens/animal_operations_center_screen.dart,5,,False,7,0
AnimalPhotoFormScreen,lib/features/animal_photo/presentation/screens/animal_photo_form_screen.dart,6,,False,5,0
AnimalPhotoGalleryScreen,lib/features/animal_photo/presentation/screens/animal_photo_gallery_screen.dart,5,,False,8,0
AnimalPhotoComparisonScreen,lib/features/animal_photo/presentation/screens/animal_photo_gallery_screen.dart,3,,False,8,0
AnimalReproductionFormScreen,lib/features/animal_reproduction/presentation/screens/animal_reproduction_form_screen.dart,6,,False,4,0
AnimalReproductionListScreen,lib/features/animal_reproduction/presentation/screens/animal_reproduction_list_screen.dart,8,,False,5,0
ReproductionOverviewScreen,lib/features/animal_reproduction/presentation/screens/reproduction_overview_screen.dart,7,,False,4,0
AnimalReproductionEnterpriseScreen,lib/features/animal_reproduction_enterprise/presentation/screens/animal_reproduction_enterprise_screen.dart,5,,False,2,0
AnimalWeightFormScreen,lib/features/animal_weight/presentation/screens/animal_weight_form_screen.dart,6,,False,2,0
AnimalWeightListScreen,lib/features/animal_weight/presentation/screens/animal_weight_list_screen.dart,7,,False,4,0
AnimalWeightIntelligenceScreen,lib/features/animal_weight_intelligence/presentation/screens/animal_weight_intelligence_screen.dart,5,,False,2,0
AnimalZootechnicalDashboardScreen,lib/features/animal_zootechnical/presentation/screens/animal_zootechnical_dashboard_screen.dart,5,,False,2,0
AtlasAdvancedDashboardScreen,lib/features/atlas_advanced/presentation/screens/atlas_advanced_dashboard_screen.dart,4,,False,1,0
AtlasAdvancedAiScreen,lib/features/atlas_advanced_ai/presentation/screens/atlas_advanced_ai_screen.dart,5,,False,9,0
AtlasAiOperationActionsScreen,lib/features/atlas_ai/presentation/screens/atlas_ai_operation_actions_screen.dart,5,,False,3,0
AtlasAiScreen,lib/features/atlas_ai/presentation/screens/atlas_ai_screen.dart,5,,False,20,0
AtlasAiConversationScreen,lib/features/atlas_ai_2/presentation/screens/atlas_ai_conversation_screen.dart,4,,False,2,0
AtlasExecutiveAiScreen,lib/features/atlas_ai_2/presentation/screens/atlas_executive_ai_screen.dart,4,,False,1,0
AtlasAiEnterpriseScreen,lib/features/atlas_ai_enterprise/presentation/screens/atlas_ai_enterprise_screen.dart,4,,False,4,0
AtlasAuthSyncScreen,lib/features/atlas_auth_sync_enterprise/presentation/screens/atlas_auth_sync_screen.dart,5,,False,6,0
AtlasAutomationOperationsScreen,lib/features/atlas_automation_operations/presentation/screens/atlas_automation_operations_screen.dart,5,,False,8,0
AtlasAutonomousEnterpriseScreen,lib/features/atlas_autonomous_enterprise/presentation/screens/atlas_autonomous_enterprise_screen.dart,5,,False,9,0
AtlasBackendFoundationScreen,lib/features/atlas_backend_foundation/presentation/screens/atlas_backend_foundation_screen.dart,5,,False,6,0
AtlasBiBenchmarkScreen,lib/features/atlas_bi/presentation/screens/atlas_bi_benchmark_screen.dart,5,,False,2,0
AtlasBiForecastScreen,lib/features/atlas_bi/presentation/screens/atlas_bi_forecast_screen.dart,5,,False,1,0
AtlasBiHubScreen,lib/features/atlas_bi/presentation/screens/atlas_bi_hub_screen.dart,5,,False,22,0
AtlasBiManagementDashboardScreen,lib/features/atlas_bi/presentation/screens/atlas_bi_management_dashboard_screen.dart,3,,False,0,0
AtlasBiScreen,lib/features/atlas_bi/presentation/screens/atlas_bi_screen.dart,5,,False,2,0
AtlasBiAnalyticsScreen,lib/features/atlas_bi_analytics/presentation/screens/atlas_bi_analytics_screen.dart,5,,False,3,0
AtlasBusinessDashboardScreen,lib/features/atlas_business/presentation/screens/atlas_business_dashboard_screen.dart,4,,False,2,0
AtlasClimateEnterpriseScreen,lib/features/atlas_climate_enterprise/presentation/screens/atlas_climate_enterprise_screen.dart,5,,False,7,0
AtlasCloudSecurityScreen,lib/features/atlas_cloud_security_enterprise/presentation/screens/atlas_cloud_security_screen.dart,5,,False,8,0
